Category,Level1,Level2,Level3,Level4,Level5,COND1,COND2,COND3,COND4
GU:485 Prevotella sp. CAG:485,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:485,0,0,0,0
GU:486 Dialister sp. CAG:486,Firmicutes,Selenomonadales,Veillonellaceae,Dialister,GU:486,787,1331,318,642
GU:487 Prevotella sp. CAG:487,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:487,4,68,1014,7
GU:488 Ruminococcus sp. CAG:488,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:488,390,282,3583,0
GU:489 Clostridiales,Firmicutes,Clostridiales,,,GU:489,8,16,6,0
GU:49 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:49,84,156,388,111
GU:490 NA,,,,,GU:490,0,24,2,0
GU:491 Blautia,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:491,7,72,73,206
GU:492 Clostridium sp. CAG:492,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:492,85,405,3,175
GU:493 NA,,,,,GU:493,3,100,1,0
GU:494 Firmicutes,Firmicutes,,,,GU:494,109,108,65,79
GU:495 Proteobacteria bacterium CAG:495,Proteobacteria,unclassified Proteobacteria,unclassified Proteobacteria,unclassified Proteobacteria,GU:495,2,0,0,33
GU:496 Lachnospiraceae,Firmicutes,Clostridiales,Lachnospiraceae,,GU:496,4,0,0,0
GU:497 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:497,4,1,4,1
GU:498 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:498,9,0,0,1
GU:499 Alistipes,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:499,1,3,120,0
GU:5 Flavonifractor plautii,Firmicutes,Clostridiales,unclassified Clostridiales,Flavonifractor,GU:5,29,45,18,66
GU:50 Eubacterium ramulus,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:50,650,116,194,248
GU:500 Faecalicoccus pleomorphus,Firmicutes,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,GU:500,5,13,4,1
GU:501 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:501,59,2,33,1
GU:503 Firmicutes,Firmicutes,,,,GU:503,0,0,0,0
GU:505 Clostridium sp. CAG:505 - Firmicutes bacterium CAG:466,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:505,3,0,78,16
GU:507 Lachnoclostridium,Firmicutes,Clostridiales,Lachnospiraceae,Lachnoclostridium,GU:507,5,103,9,24
GU:508 Clostridium sp. CAG:508,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:508,869,418,20,466
GU:51 Coprobacter fastidiosus,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Coprobacter,GU:51,51,95,786,8
GU:510 Clostridium sp. CAG:510,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:510,3,1429,1592,3
GU:511 Clostridium clostridioforme,Firmicutes,Clostridiales,Lachnospiraceae,Lachnoclostridium,GU:511,6,26,0,25
GU:512 Dialister succinatiphilus,Firmicutes,Selenomonadales,Veillonellaceae,Dialister,GU:512,221,351,70,647
GU:514 Alistipes sp. CAG:514,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:514,4,6,3,0
GU:515 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:515,0,0,33,1
GU:519 NA,,,,,GU:519,1,4,18,5
GU:52 Blautia sp. CAG:52,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:52,312,421,410,470
GU:520 Prevotella sp. CAG:520,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:520,915,157,195,519
GU:521 Sutterella sp. CAG:521,Proteobacteria,Burkholderiales,Sutterellaceae,Sutterella,GU:521,0,18,0,0
GU:522 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,,GU:522,23,93,126,57
GU:5226 Prevotella sp. CAG:5226,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:5226,187,75,20,0
GU:524 Clostridium sp. CAG:524,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:524,5,476,2,1417
GU:525 Clostridiales,Firmicutes,Clostridiales,,,GU:525,0,34,1,57
GU:528 Anaerotruncus sp. CAG:528,Firmicutes,Clostridiales,Ruminococcaceae,Anaerotruncus,GU:528,0,0,33,0
GU:529 Sutterella,Proteobacteria,Burkholderiales,Sutterellaceae,Sutterella,GU:529,25,36,22,301
GU:53 Alistipes shahii,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:53,188,306,725,577
GU:530 Bacteroides sp. CAG:530,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:530,0,0,0,0
GU:531 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:531,40,0,0,0
GU:532 Porphyromonadaceae,Bacteroidetes,Bacteroidales,Porphyromonadaceae,,GU:532,0,0,0,1
GU:533 Clostridium sp. CAG:533,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:533,1,266,3,4
GU:534 Firmicutes bacterium CAG:534,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:534,0,20,0,0
GU:536 Firmicutes bacterium CAG:536,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:536,1,38,0,0
GU:538 NA,,,,,GU:538,0,0,0,0
GU:54 Clostridium,Firmicutes,Clostridiales,Clostridiaceae,Clostridium,GU:54,94,123,144,151
GU:540 NA,,,,,GU:540,0,0,0,0
GU:541 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:541,0,1,4030,1
GU:542 Acidaminococcus sp. CAG:542,Firmicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,GU:542,0,4,0,12
GU:543 Clostridiales,Firmicutes,Clostridiales,,,GU:543,6,2,0,36
GU:544 Mitsuokella multacida,Firmicutes,Selenomonadales,Veillonellaceae,Mitsuokella,GU:544,1,31,10,14
GU:545 Bacteroides sp. CAG:545,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:545,3,40,1,0
GU:546 Acidaminococcus fermentans,Firmicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,GU:546,1,63,0,6
GU:548 NA,,,,,GU:548,28,384,2,0
GU:55 Ruminococcus torques 2,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:55,593,807,580,507
GU:550 Parabacteroides,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides,GU:550,0,0,0,0
GU:551 Prevotella,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:551,158,120,567,268
GU:552 Firmicutes bacterium CAG:552,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:552,0,0,0,6
GU:553 NA,,,,,GU:553,7,1,0,1617
GU:554 Flavonifractor,Firmicutes,Clostridiales,unclassified Clostridiales,Flavonifractor,GU:554,0,1,1,3
GU:555 Firmicutes bacterium CAG:555,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:555,0,0,0,0
GU:557 Clostridium sp. CAG:557,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:557,37,1,4,0
GU:558 Bacteroides fragilis 2,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:558,1,2,1,2
GU:56 Firmicutes bacterium CAG:56,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:56,585,508,668,256
GU:561 Odoribacter laneus,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Odoribacter,GU:561,0,0,0,27
GU:562 Blautia,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:562,2,3,0,0
GU:563 Ruminococcus sp. CAG:563,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:563,7,5,96,0
GU:564 Bacteroides intestinalis 1,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:564,25,580,12,4
GU:565 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:565,1,0,204,0
GU:566 Clostridiales,Firmicutes,Clostridiales,,,GU:566,37,65,105,96
GU:567 Clostridium sp. CAG:567,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:567,760,682,21,8
GU:568 Clostridium sp. CAG:568,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:568,20,4902,6,9
GU:569 Alistipes,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:569,6,83,126,2
GU:57 Ruminococcus bicirculans,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:57,4478,1260,923,695
GU:570 Megasphaera elsdenii,Firmicutes,Selenomonadales,Veillonellaceae,Megasphaera,GU:570,271,52,35,556
GU:571 Clostridium sp. CAG:571,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:571,1,1,545,0
GU:572 Firmicutes,Firmicutes,,,,GU:572,0,4,0,0
GU:573 Megasphaera sp. BL7 & NM10,Firmicutes,Selenomonadales,Veillonellaceae,Megasphaera,GU:573,25,2,3,52
GU:574 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:574,0,11,1,116
GU:575 Clostridium sp. CAG:575,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:575,9,1,8,0
GU:577 Bifidobacterium gallinarum = saeculare = pullorum,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,GU:577,0,0,0,21
GU:579 Ruminococcus sp. CAG:579,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:579,0,0,0,0
GU:58 Clostridium sp. CAG:58,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:58,68,13,0,35
GU:581 Eubacterium sp. CAG:581,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:581,797,0,3,2
GU:582 Firmicutes bacterium CAG:582,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:582,3,34,211,0
GU:584 NA,,,,,GU:584,0,0,0,0
GU:585 Eubacterium,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:585,0,1,0,0
GU:586 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:586,1,0,0,0
GU:588 Dialister sp. CAG:588,Firmicutes,Selenomonadales,Veillonellaceae,Dialister,GU:588,0,0,2,0
GU:59 Clostridium bolteae,Firmicutes,Clostridiales,Lachnospiraceae,Lachnoclostridium,GU:59,42,42,6,43
GU:590 Clostridium sp. CAG:590,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:590,5,149,1,0
GU:592 Prevotella sp. CAG:592,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:592,0,40,1,0
GU:594 Clostridium sp. CAG:594,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:594,2,17,0,0
GU:595 Blastocystis sp. ST4 (obsolete),unclassified Eukaryota,unclassified Eukaryota,unclassified Eukaryota,Blastocystis,GU:595,12,4,6,405
GU:596 NA,,,,,GU:596,0,0,0,0
GU:597 Clostridiales,Firmicutes,Clostridiales,,,GU:597,38,0,0,0
GU:598 Bacteroides sp. CAG:598,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:598,0,0,0,1
GU:6 Bacteroides vulgatus,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:6,12398,13310,12527,25942
GU:60 Ruminococcus sp. CAG:60,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:60,96,38,147,23
GU:600 NA,,,,,GU:600,1,2,3,0
GU:601 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:601,0,1,1,0
GU:603 Eubacterium sp. CAG:603,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:603,0,0,0,0
GU:6034 NA,,,,,GU:6034,0,0,0,0
GU:604 Prevotella sp. CAG:604,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:604,1134,544,1133,455
GU:605 Coprobacillus sp. CAG:605,Firmicutes,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,GU:605,0,0,0,0
GU:608 Clostridiales,Firmicutes,Clostridiales,,,GU:608,0,1,48,0
GU:609 Clostridium sp. CAG:609,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:609,1,21,6,0
GU:61 Ruminococcus torques 1,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:61,212,402,402,345
GU:611 Mycoplasma sp. CAG:611,Tenericutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,GU:611,3,1354,68,16
GU:612 NA,,,,,GU:612,0,0,0,0
GU:615 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:615,0,0,0,0
GU:617 Prevotella sp. CAG:617,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:617,0,0,0,0
GU:62 Clostridium sp. CAG:62,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:62,326,1259,657,427
GU:620 Lachnospiraceae,Firmicutes,Clostridiales,Lachnospiraceae,,GU:620,1,2,0,1
GU:621 Peptostreptococcus anaerobius,Firmicutes,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,GU:621,0,0,0,1
GU:624 Ruminococcus sp. CAG:624,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:624,0,0,0,0
GU:625 Bacteroidales,Bacteroidetes,Bacteroidales,,,GU:625,0,35,0,0
GU:627 NA,,,,,GU:627,0,0,0,0
GU:628 Clostridium sp. CAG:628,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:628,6,408,1648,442
GU:629 Prevotella stercorea,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:629,4612,403,64,12
GU:63 Faecalibacterium,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:63,196,166,152,94
GU:630 Lactobacillus salivarius,Firmicutes,Lactobacillales,Lactobacillaceae,Lactobacillus,GU:630,0,1,0,1
GU:631 Firmicutes bacterium CAG:631,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:631,0,0,0,0
GU:632 Clostridium sp. CAG:632,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:632,0,155,1,0
GU:633 Bacteroides sp. CAG:633,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:633,1,159,0,1
GU:634 Klebsiella variicola,Proteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,GU:634,0,0,0,0
GU:637 NA,,,,,GU:637,0,0,0,0
GU:64 Clostridium innocuum,Firmicutes,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,GU:64,2,2,2,19
GU:640 Collinsella intestinalis,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,GU:640,0,0,0,0
GU:642 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:642,9,7,32,2
GU:646 Firmicutes bacterium CAG:646,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:646,0,0,0,0
GU:649 Fusobacterium nucleatum,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Fusobacterium,GU:649,0,2,5,1
GU:65 Firmicutes bacterium CAG:65,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:65,1305,3613,2918,1833
GU:653 NA,,,,,GU:653,0,0,0,17
GU:654 NA,,,,,GU:654,39,52,1,16
GU:658 Bacteroides,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:658,1,1,1,2
GU:66 Lachnospiraceae,Firmicutes,Clostridiales,Lachnospiraceae,,GU:66,560,304,251,418
GU:661 Bacteroides sp. CAG:661,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:661,428,2,0,1
GU:663 Clostridiales,Firmicutes,Clostridiales,,,GU:663,0,0,17,9
GU:665 Coprococcus eutactus,Firmicutes,Clostridiales,Lachnospiraceae,Coprococcus,GU:665,0,1,259,107
GU:67 Alistipes putredinis,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:67,925,2497,10693,2150
GU:671 NA,,,,,GU:671,0,1,1,0
GU:673 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:673,5,153,4,389
GU:675 Eubacterium,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:675,0,0,0,0
GU:678 Clostridium sp. CAG:678,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:678,0,0,0,0
GU:679 Fusobacterium gonidiaformans,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Fusobacterium,GU:679,0,0,1,0
GU:68 Alistipes finegoldii,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:68,59,223,332,51
GU:681 NA,,,,,GU:681,0,97,0,0
GU:683 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:683,0,0,0,0
GU:686 Prevotella,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:686,81,280,15,4
GU:69 Bifidobacterium longum,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,GU:69,342,944,224,425
GU:691 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:691,0,0,0,0
GU:692 Parvimonas micra,Firmicutes,Clostridiales,Peptoniphilaceae,Parvimonas,GU:692,1,2,24,2
GU:695 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:695,1,6,52,1
GU:696 Barnesiella,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Barnesiella,GU:696,0,0,0,0
GU:697 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:697,0,0,0,0
GU:698 Coprobacillus sp. CAG:698,Firmicutes,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,GU:698,9,0,0,2284
GU:699 Sutterella,Proteobacteria,Burkholderiales,Sutterellaceae,Sutterella,GU:699,0,19,0,0
GU:7 Clostridium sp. CAG:7,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:7,1427,1254,1194,1014
GU:70 Faecalibacterium,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:70,1557,207,281,270
GU:700 Brachyspira aalborgi,Spirochaetes,Spirochaetales,Brachyspiraceae,Brachyspira,GU:700,428,191,33,0
GU:702 Bacteroides sp. CAG:702,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:702,4,1,606,3
GU:703 Sutterella,Proteobacteria,Burkholderiales,Sutterellaceae,Sutterella,GU:703,0,0,0,0
GU:706 Roseburia,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:706,0,0,0,0
GU:708 Eubacterium,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:708,555,4,0,7
GU:709 Bacteroides sp. CAG:709,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:709,0,12,1,0
GU:71 Blautia,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:71,235,121,150,53
GU:710 Clostridium sp. CAG:710,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:710,4,95,1643,42
GU:713 Firmicutes,Firmicutes,,,,GU:713,0,0,0,0
GU:714 Bacteroides barnesiae,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:714,597,3,1634,5
GU:715 Clostridium sp. CAG:715,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:715,1,409,0,165
GU:716 Prevotella,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:716,1,111,484,2
GU:719 Lactobacillus acidophilus & amylovorus,Firmicutes,Lactobacillales,Lactobacillaceae,Lactobacillus,GU:719,0,0,0,0
GU:72 Eubacterium eligens,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:72,2338,6613,2115,2611
GU:720 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:720,1,11,1,0
GU:721 Sutterella,Proteobacteria,Burkholderiales,Sutterellaceae,Sutterella,GU:721,1,132,58,0
GU:724 Ruminococcus sp. CAG:724,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:724,0,1,267,0
GU:727 Acidiphilium sp. CAG:727,Proteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,GU:727,2,22,1,0
GU:729 Clostridium sp. CAG:729,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:729,0,1,0,0
GU:73 Dorea,Firmicutes,Clostridiales,Lachnospiraceae,Dorea,GU:73,159,65,80,92
GU:731 NA,,,,,GU:731,0,0,0,1
GU:732 Prevotella sp. CAG:732,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:732,25,724,104,1
GU:735 Sutterella,Proteobacteria,Burkholderiales,Sutterellaceae,Sutterella,GU:735,7,0,0,0
GU:738 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:738,1,33,0,0
GU:74 Faecalibacterium 5,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:74,259,399,673,892
GU:747 Roseburia,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:747,0,26,2,0
GU:75 Clostridium sp. CAG:75,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:75,429,915,368,743
GU:751 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:751,1,2,0,0
GU:753 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:753,0,1,0,0
GU:754 Bacteroides sp. CAG:754,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:754,2,2,4,67
GU:755 Prevotella sp. CAG:755,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:755,0,0,0,1
GU:757 NA,,,,,GU:757,0,0,0,0
GU:76 Eubacterium sp. CAG:76,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:76,2087,755,2216,4037
GU:760 NA,,,,,GU:760,1,231,15,17
GU:762 Clostridium sp. CAG:762,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:762,8,1,0,1839
GU:764 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:764,0,1,6,0
GU:768 Clostridium sp. CAG:768,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:768,0,1,0,0
GU:77 Candidatus Alistipes marseilloanorexicus,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:77,60,82,238,68
GU:770 Bacteroides sp. CAG:770,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:770,568,1,0,1
GU:776 Mycoplasma sp. CAG:776,Tenericutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,GU:776,0,0,1,0
GU:777 Succinatimonas sp. CAG:777,Proteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,GU:777,161,2510,108,12776
GU:78 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:78,250,203,105,249
GU:780 Clostridium sp. CAG:780,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:780,0,2,0,0
GU:782 Coprococcus sp. CAG:782,Firmicutes,Clostridiales,Lachnospiraceae,Coprococcus,GU:782,0,475,0,1
GU:786 Eubacterium sp. CAG:786,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:786,0,0,0,0
GU:788 Odoribacter sp. CAG:788,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Odoribacter,GU:788,0,0,0,0
GU:79 Streptococcus salivarius,Firmicutes,Lactobacillales,Streptococcaceae,Streptococcus,GU:79,194,930,276,788
GU:791 Firmicutes bacterium CAG:791,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:791,0,53,0,0
GU:793 Clostridium sp. CAG:793,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:793,18,1,2,0
GU:797 Bacteroides,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:797,2,49,3,1
GU:798 Clostridium sp. CAG:798,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:798,0,0,8,0
GU:8 Ruminococcus,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:8,465,632,1343,243
GU:80 Eubacterium siraeum,Firmicutes,Clostridiales,Ruminococcaceae,Ruminiclostridium,GU:80,109,300,74,2045
GU:81 butyrate-producing bacterium SS3/4 - Clostridium sp. CAG:81,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:81,317,385,337,236
GU:811 Blautia,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:811,0,1,2,1
GU:813 Clostridium sp. CAG:813,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:813,0,1,0,0
GU:815 Fusobacterium sp. CAG:815,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Fusobacterium,GU:815,254,6,1,121
GU:816 Akkermansia,Verrucomicrobia,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,GU:816,0,0,0,0
GU:82 Faecalibacterium 6,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:82,418,533,459,558
GU:820 Lachnoclostridium,Firmicutes,Clostridiales,Lachnospiraceae,Lachnoclostridium,GU:820,1,1,0,0
GU:822 Firmicutes bacterium CAG:822,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:822,0,0,0,0
GU:826 Coprobacillus sp. CAG:826,Firmicutes,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,GU:826,129,226,0,1653
GU:83 Firmicutes bacterium CAG:83,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:83,297,411,217,224
GU:831 Alistipes sp. CAG:831,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:831,0,0,0,0
GU:836 Prevotella,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:836,63,270,0,0
GU:84 Alistipes,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:84,11,25,7,1
GU:841 Eubacterium sp. CAG:841,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:841,10,2151,4,2
GU:85 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:85,75,226,490,107
GU:86 Eubacterium sp. CAG:86,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:86,351,265,788,613
GU:861 NA,,,,,GU:861,15,1078,5,12
