Category,Level1,Level2,Level3,Level4,Level5,COND1,COND2,COND3,COND4
GU:1822 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:1822,0,3,0,6
GU:183 Erysipelatoclostridium ramosum,Firmicutes,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,GU:183,110,5,6,284
GU:184 NA,,,,,GU:184,2,28,5,0
GU:185 NA,,,,,GU:185,13,54,67,42
GU:186 Methanobrevibacter smithii 1,Euryarchaeota,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,GU:186,50,478,44,5
GU:187 NA,,,,,GU:187,72,37,22,14
GU:188 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:188,368,359,344,76
GU:189 Bacteroides salyersiae,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:189,21,324,25,1102
GU:19 Coprococcus comes,Firmicutes,Clostridiales,Lachnospiraceae,Coprococcus,GU:19,2429,1104,1264,1383
GU:190 Hungatella hathewayi 2,Firmicutes,Clostridiales,Clostridiaceae,Hungatella,GU:190,1,6,8,3
GU:191 Eggerthellaceae,Actinobacteria,Eggerthellales,Eggerthellaceae,,GU:191,29,12,31,2
GU:192 Eubacterium sp. CAG:192,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:192,180,90,17,0
GU:193 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:193,354,204,769,72
GU:194 Firmicutes bacterium CAG:194,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:194,544,178,51,28
GU:195 Faecalibacterium 1,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:195,1248,1206,653,304
GU:196 Acinetobacter sp. CAG:196,Proteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,GU:196,201,0,357,1
GU:197 Roseburia sp. CAG:197,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:197,5,28,432,22
GU:198 Oscillibacter,Firmicutes,Clostridiales,Oscillospiraceae,Oscillibacter,GU:198,172,317,222,214
GU:199 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:199,7,87,65,63
GU:2 Parabacteroides distasonis,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides,GU:2,1031,1088,3232,1930
GU:20 Barnesiella intestinihominis,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Barnesiella,GU:20,1042,1897,4950,1798
GU:200 Alistipes senegalensis,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:200,20,27,37,88
GU:201 NA,,,,,GU:201,14,14,2,48
GU:202 Eubacterium sp. CAG:202,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:202,2116,1588,3065,70
GU:203 Bacteroides finegoldii,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:203,60,28,228,2667
GU:204 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:204,61,200,196,21
GU:205 Senegalimassilia anaerobia,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Senegalimassilia,GU:205,17,5,15,0
GU:206 Faecalibacterium,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:206,36,171,113,137
GU:207 Phascolarctobacterium sp. CAG:207,Firmicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,GU:207,149,624,834,716
GU:208 Proteobacteria,Proteobacteria,,,,GU:208,212,587,5,318
GU:209 Eggerthella sp. CAG:209,Actinobacteria,Eggerthellales,Eggerthellaceae,Eggerthella,GU:209,25,8,16,55
GU:21 Bacteroides caccae,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:21,619,1502,1552,2554
GU:210 Sutterella wadsworthensis 2,Proteobacteria,Burkholderiales,Sutterellaceae,Sutterella,GU:210,89,2,415,45
GU:211 Bacteroides plebeius,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:211,23,1244,2394,10
GU:212 Firmicutes bacterium CAG:212,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:212,17,9,5,7
GU:213 Ruminococcus callidus,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:213,236,100,116,98
GU:214 Oscillibacter,Firmicutes,Clostridiales,Oscillospiraceae,Oscillibacter,GU:214,39,60,24,35
GU:215 Lachnospiraceae bacterium 1_4_56FAA & CAG:215,Firmicutes,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,GU:215,2,2,0,21
GU:216 Coprobacillus sp. D6 & sp. 29_1,Firmicutes,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,GU:216,0,26,2,3
GU:217 Clostridium sp. CAG:217,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:217,428,364,298,176
GU:218 Dialister invisus,Firmicutes,Selenomonadales,Veillonellaceae,Dialister,GU:218,1646,1791,1844,791
GU:2184 NA,,,,,GU:2184,71,2,24,0
GU:2189 Clostridiales,Firmicutes,Clostridiales,,,GU:2189,0,0,2,0
GU:219 Dorea longicatena,Firmicutes,Clostridiales,Lachnospiraceae,Dorea,GU:219,318,452,198,135
GU:22 Bacteroides ovatus,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:22,4018,4192,2585,7029
GU:220 Ruminococcaceae bacterium LM158,Firmicutes,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,GU:220,31,24,227,10
GU:221 Clostridium sp. CAG:221 - Clostridium sp. CAG:265,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:221,3,7,16,4
GU:222 Bacteroides dorei,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:222,3464,2413,2732,8009
GU:223 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:223,159,0,244,3
GU:224 Hungatella hathewayi 1,Firmicutes,Clostridiales,Clostridiaceae,Hungatella,GU:224,1,1,6,1
GU:225 Butyricimonas virosa,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Butyricimonas,GU:225,129,646,453,416
GU:226 Clostridium sp. CAG:226,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:226,18,13,12,3
GU:227 Firmicutes bacterium CAG:227,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:227,14,24,12,0
GU:228 NA,,,,,GU:228,2,23,4,36
GU:229 Firmicutes,Firmicutes,,,,GU:229,43,82,249,207
GU:23 unclassified Bacteroidales,Bacteroidetes,Bacteroidales,unclassified Bacteroidales,unclassified Bacteroidales,GU:23,139,177,899,156
GU:230 Clostridium sp. CAG:230,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:230,27,37,172,29
GU:231 Blautia,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:231,6,3,7,93
GU:232 Holdemanella,Firmicutes,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,GU:232,148,1194,1356,14
GU:233 Parasutterella excrementihominis 1,Proteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,GU:233,463,113,8,52
